UMAP1,UMAP2,additives,SMILES
5.8691297,-0.16271374,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
5.9602633,0.31585425,TCEB,B(OCCC#N)(OCCC#N)OCCC#N
6.049332,-0.21003659,TMBx,COB1OB(OC)OB(OC)O1
5.9288836,-0.36826172,PFPBO,FC1=C(F)C(F)=C(F)C(B(OC2=O)OC2=O)=C1F
5.7906923,-0.60399324,LiPVAOB,CCC1O[B-](OC2=O)(OC2=O)OC(C)C1.[Li+]
6.639698,3.5783777,(C6H3F)O2B(C8H3F6),Fc1cccc2c1OB(c3cc(C(F)(F)F)ccc3C(F)(F)F)O2
7.1476407,2.436388,TBDB,CC1(COB(OC1)B1OCC(CO1)(C)C)C
5.6927233,0.010265413,TRIFM,FC(C1=CC=NC=C1)(F)F.FB(F)F
5.611143,-0.6052188,LBBPB,C1(C2=C(O[B-]34OC5=C(C6=C(O3)C=CC=C6)C=CC=C5)C=CC=C2)=C(O4)C=CC=C1.[Li+]
6.8055534,3.494172,TPhBX,B1(OB(OB(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
7.110182,1.8476968,ITD,C(C)(C)OB1OC(C(O1)(C)C)(C)C
6.082194,-0.33082393,LBO,[Li+].[O-]B=O
6.8771877,4.404073,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F
4.5052867,0.3349343,(C3HF6O)2B(C6H5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F
7.0958457,3.9454267,DPD-CN-OCH3,CC1(COB(OC1)C1=C(C#N)C=CC=C1OC)C
6.6917915,3.5800986,(C6H3F)O2B(C6H3F2),Fc1cccc2c1OB(c3ccc(F)cc3F)O2
6.05378,-0.23996381,TiPBx,CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1
5.865676,0.18977529,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F 
5.666338,-0.69767344,LBSB,O=C(O1)C2=CC=CC=C2O[B-]13OC4=CC=CC=C4C(O3)=O.[Li+]
6.014067,-0.37103644,C-LiMCFB,F[B-](F)(F)OCC1OCCOCCOCCOCCOC1
5.893574,0.0582671,L-LiMCFB,F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+]
6.6675715,-0.8847453,Li2TB,[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O
5.895082,0.40538,TME,COCCB(CCOC)CCOC
5.630858,-0.799159,LiBFSB,FC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(F)=C3O2)=O)C)=O)=CC=C1.[Li+]
5.73834,0.021092586,NHCABT,FB(F)F.CN1CCN(C)C1
4.4328675,0.37034434,(C3HF6O)2B(C6F5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F.[F]
5.9507833,0.20697784,HBC,C=C(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C
6.0400662,-0.18652196,TnPBx,CCCOB1OB(OCCC)OB(OCCC)O1
5.579871,-0.60322434,LBNB,C12=CC=CC=C1C=C(O[B-]3(OC4=CC5=CC=CC=C5C=C4O3)O6)C6=C2.[Li+]
5.9462233,0.20173414,LBC,C=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C
8.001946,2.8167827,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  
4.803368,0.105723776,(C3HF6O)2B(C6H3F2),Fc1cc(B(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)cc(F)c1
7.1075835,3.8284702,DPD,CC1(COB(OC1)C1=CC=CC=C1)C
5.9273434,-0.526031,PRZ,F[B-](F)(F)[N+]1=CC=[N+]([B-](F)(F)F)C=C1
5.6803803,-0.73586315,DCLBSB,O=C(O[B-]12OC3=C(Cl)C=C(Cl)C=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4.[Li+]
5.434961,0.2315555,H3BO3,B(O)(O)O
5.7009726,-0.6936936,LiODFB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F
6.0172324,-0.10127516,LiPAAOB,O=C(OB(OC1=O)OC1=O)C(CC)CC(C)C(O)=O.[Li+]
1.176887,2.4547784,FBA,FC(C=1C=C(C=CC1)B(O)O)(F)F
7.0703993,1.797988,B-PEGMA,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB1OC(C)(CCC(C)(O1)C)C)C(C)=O
5.9704328,-0.09366303,LiT4PAB,C=CCCC(O[B-](OC(CCC=C)=O)(OC(CCC=C)=O)OC(CCC=C)=O)=O.[Li+]
-3.2420661,4.312061,Li3BO3,[Li+].B([O-])([O-])[O-]  
5.9950433,-0.3943512,LiFPB,FC(C1(C(F)(F)F)O[B-]2(OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)OC1(C(F)(F)F)C(F)(F)F)(F)F.[Li+]
5.896401,-0.6118001,BF3-THF,F[B-](F)(F)[O+]1CCCC1
5.9780016,-0.32530442,B2O3,[B]=O
-8.0795,0.73569804,TFPBO,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F
5.8772564,0.19643033,TFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F 
5.9799647,0.3398194,BF3·DE,B(F)(F)F.CCOCC
5.9688582,0.22939241,BPC,O=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C
5.635435,-0.6761424,LiSOB,O=C(O[B-](OC1=O)(OC1=O)O2)C3=C2C=CC=C3.[Li+]
6.606323,3.5095377,(C6H3F)O2B(C7H4F3),Fc1cccc2c1OB(c3cccc(C(F)(F)F)c3)O2
5.661101,-0.77461773,LiBBrSB,BrC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Br)=C3O2)=O)C)=O)=CC=C1.[Li+]
5.682827,-0.6669447,LBDCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-]4(O3)OC5=CC=CC=C5O4
6.904958,3.8298547,(C6F12)O2B(C6F5),FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F.[F]
5.964328,-0.3731155,PFPTFBB,B1(OC2=C(O1)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F 
6.763215,3.5062587,(C6F4)O2B(C6F5),c1(B2Oc3c(O2)cccc3)ccccc1.[F].[F]
4.60453,-0.6459482,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
-3.2397444,4.3100166,LiBO2,[Li+].B([O-])([O-])[O-]
-3.2414088,4.3157377,TEB,[Li+].B([O-])([O-])[O-]
7.275618,4.1122365,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C
6.6734157,3.610345,(C6F4)O2B(C8H3F6),FC(c1c(B2Oc3c(O2)cccc3)cc(C(F)(F)F)cc1)(F)F.[F]
5.6847687,-0.6954069,LDFOB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F
5.640318,-0.78611636,LiBMSB,CC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(C)=C3O2)=O)C)=O)=CC=C1.[Li+]
5.3302464,-0.2609823,B(HFIP)3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
5.980397,0.2906286,TPB,B(OCCC)(OCCC)OCCC 
1.2185812,3.354029,TMSPB,C[Si](C=1C=C(C=CC1)B(O)O)(C)C
7.089514,1.8445305,BEG-1,CC1(C(C)(OB(OCCCOB(OC2(C)C)OC(C)(C2(C)C)C)OC1(C)C)C)C
5.789564,-0.67594093,LBCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-]4(OC(C(C(C5=O)=O)=O)=C5O4)O3
5.4439816,-0.30902305,Na[B(hfip)4],FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F.[Na+]
5.6828156,-0.6939516,NaDFOB,[Na+].O=C1O[B-](F)(F)OC1=O
5.5198913,-0.5794494,LBDOB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2
-1.5175029,-2.3561616,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C
5.9556813,0.2069023,TAB,O=C(C(C)=C)OCCO[B](OCCOCC=C)OCCOCC=C
5.7075176,-0.6728713,LiBOB,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2
5.9188943,-0.6215424,3F-PBF,F[B-](F)(F)[N+]1=CC=CC(F)=C1
4.6094394,-0.6428098,TPF,FC1=C(C(=C(C(=C1B(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F
5.525653,-0.5782925,LBBB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2
4.628489,-0.6367992,TFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
5.9287605,-0.6308233,LUTID,F[B-]([N+]1=CC(C)=C(C)C=C1)(F)F
6.0702643,-0.2238439,TMB,B1(OB(OB(O1)C)C)C
5.948959,0.20540534,B-HEMA,C=C(C(OCCOB(OCCOC(C(C)=C)=O)OCCOC(C(C)=C)=O)=O)C
6.9210224,4.0407286,(C6F12)O2B(C6H3F2),Fc1cc(B2OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)cc(F)c1
6.730402,3.5502684,(C6F4)O2B(C7H3F6),FC(c1c(B2Oc3c(O2)cccc3)cccc1)(F)F.[F]
7.0906057,3.9355302,DPD-CN,C(#N)C1=C(C=CC=C1)B1OCC(CO1)(C)C
5.724279,-0.58882284,LiBPh4,C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+]
5.672123,-0.7053852,3-MLBSB,O=C(O[B-]12OC3=C(C)C=CC=C3C(O2)=O)C4=C(O1)C(C)=CC=C4.[Li+]
5.7030783,0.0028233174,PBF,B(F)(F)F.N1=CC=CC=C1
3.032905,-0.45758098,NaTFPB,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  
6.723062,3.535017,(C6F4)O2B(C6H4F),Fc1ccc(B2Oc3c(O2)cccc3)cc1.[F]
5.6416974,-0.70128435,Li[BScB],O=C1C2=CC=CC=C2O[B-](OC3=C4C=CC=C3)(OC4=O)O1.[Li+]
5.541692,-0.2531838,THFB,[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
5.920466,-0.5622289,TRIZIN,F[B-](F)(F)[N+]1=C[N+]([B-](F)(F)F)=C[N+]([B-](F)(F)F)=C1
7.091323,3.8528125,DPD-F,CC1(COB(OC1)C1=C(C=CC=C1)F)C
5.9044995,0.17587471,TTFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F 
5.6993594,-0.70313084,TCLBSB,O=C(O[B-]12OC3=C(Cl)C=C(Cl)C(Cl)=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4Cl.[Li+]
7.184028,1.884034,BDB,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C
-3.2407706,4.31585,K2B4O5(OH)4,B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+]
4.1333857,0.24010825,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1
7.0180917,3.8815336,DPD-CHO,CC1(COB(OC1)C1=C(C=O)C=CC=C1)C
5.876899,-0.17250656,TMF,FC(C(F)(F)OC(F)(F)F)(F)OB(OC(F)(F)C(F)(F)OC(F)(F)F)OC(F)(F)C(F)(F)OC(F)(F)F
2.926257,0.041332174,PBA,C1(=CC=CC=C1)OB(O)O
5.845159,-0.5333948,LiMOB,O=C(CC(O1)=O)O[B-]1(OC(C2)=O)OC2=O.[Li+]
5.7888455,-0.6201963,LiBMAB,C=CCC(C1=O)C(O[B-]2(OC(C(C(O2)=O)CC=C)=O)O1)=O.[Li+]
5.7041802,0.0054109134,VPBF,C=CC1=CC=NC=C1.FB(F)F
6.999427,3.9209855,DPD-COOCH2CH3,CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C
5.727537,-0.6879874,LOCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-](OC4=O)(OC4=O)O3
5.4763317,0.6604293,DEBA,CC(=CB(O)O)C
5.6507177,-0.7276738,LiBSB,O=C1C2=CC=CC=C2O[B-]3(OC(C4=CC=CC=C4O3)=O)O1.[Li+]
5.8750567,0.20191623,TTFB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F
5.7079496,-0.6917287,4FLBDOB,FC1=C(F)C(F)=C2C(O[B-](OC3=O)(OC3=O)O2)=C1F.[Li+]
5.7092466,-0.67573035,LiBF4,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2
5.653303,0.07987156,PCN,N#CC1=CC=CN=C1.FB(F)F
5.713946,-0.67958176,LiDFOB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F
6.7037897,3.5685577,(C6F4)O2B(C6H3F2),Fc1cc(F)c(B2Oc3c(O2)cccc3)cc1.[F]
6.0189524,0.30724066,TBB,B(OCCCC)(OCCCC)OCCCC
5.6309457,-0.8057848,LiBClSB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Cl)=C3O2)=O)C)=O)=CC=C1.[Li+]
7.0357184,3.8911316,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC
6.047008,-0.24314612,TEBx,CCOB1OB(OCC)OB(OCC)O1
6.909653,3.8297496,(C6F12)O2B(C6H5),FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F
5.3623095,-0.28367516,ABA#1,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F 
5.9466915,0.35028264,BF₃·DE,B(F)(F)F.CCOCC
-1.1903843,-1.7638923,LiB5AB,B([O-])([O-])[O-].NC1=CC=C(C(C(=O)O)=C1)O.NC1=CC=C(C(C(=O)O)=C1)O.[Li+].[Li+].[Li+]
5.6205707,-0.7748582,LiBCl2SB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC(Cl)=CC(Cl)=C3O2)=O)C)=O)=CC(Cl)=C1.[Li+]
5.3648057,-0.30863714,THFPB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
5.648248,0.011581039,2F-PBF,FC1=NC=CC=C1.FB(F)F
5.358434,-0.3007163,THB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
