Method,"Prototype
similarity","Prototype
coverage","Entropy-weighted
assignment rank","Moderate
novelty ratio","Candidate
diversity",Silhouette
Full model,1.0,0.6666666666666666,1.0,0.737455530638847,1.0,1.0
Random selection,0.6223989515438149,1.0,0.6666666666666667,0.6917391838662054,0.2990326699659334,0.6838552300802636
Morgan fingerprints,0.5876805516752664,1.0,0.8888888888888888,0.9212982180729542,0.08270001758783337,0.5271699938818614
PCL encoder only,0.9138111391354764,0.3333333333333333,0.7777777777777778,0.9266488477959002,0.25337039146472184,0.993952948785726
USL encoder only,0.007854396579152285,0.49999999999999994,0.33333333333333337,1.0,0.1085107776336865,0.03276681621261824
PCL encoder clustering,0.6919572294133105,0.8333333333333331,0.5555555555555556,0.5870784822344212,0.227934047506788,0.9498698347318212
USL encoder clustering,0.0,0.49999999999999994,0.2222222222222222,0.0,0.20382301803343317,0.8416794790817813
w/o EMA,0.08653433266797052,1.0,0.4444444444444444,0.12717723477346615,0.464135838842293,0.39797746234480363
w/o decorrelation,0.0011758697038312552,0.49999999999999994,0.11111111111111116,0.975941691753538,0.0,0.0
w/o top-K,0.24978366954648684,0.0,0.0,0.6664854301764406,0.8043335960619344,
