feature,feature_index,physical_meaning
N0,0,C
N1,1,N
N2,2,O
N3,3,S
N4,4,F
N5,5,Si
N6,6,P
N7,7,Cl
N8,8,Br
N9,9,Mg
N10,10,Na
N11,11,Ca
N12,12,Fe
N13,13,As
N14,14,Al
N15,15,I
N16,16,B
N17,17,V
N18,18,K
N19,19,Tl
N20,20,Yb
N21,21,Sb
N22,22,Sn
N23,23,Ag
N24,24,Pd
N25,25,Co
N26,26,Se
N27,27,Ti
N28,28,Zn
N29,29,Li
N30,30,Ge
N31,31,Cu
N32,32,Au
N33,33,Ni
N34,34,Cd
N35,35,In
N36,36,Mn
N37,37,Zr
N38,38,Cr
N39,39,Pt
N40,40,Hg
N41,41,Pb
N42,42,Unknown
N43,43,n_heavy_neighbors_0
N44,44,n_heavy_neighbors_1
N45,45,n_heavy_neighbors_2
N46,46,n_heavy_neighbors_3
N47,47,n_heavy_neighbors_4
N48,48,n_heavy_neighbors_MoreThanFour
N49,49,formal_charge_-3
N50,50,formal_charge_-2
N51,51,formal_charge_-1
N52,52,formal_charge_0
N53,53,formal_charge_1
N54,54,formal_charge_2
N55,55,formal_charge_3
N56,56,formal_charge_Extreme
N57,57,S
N58,58,SP
N59,59,SP2
N60,60,SP3
N61,61,SP3D
N62,62,SP3D2
N63,63,OTHER
N64,64,is_in_a_ring
N65,65,is_aromatic
N66,66,atomic_mass_scaled
N67,67,vdw_radius_scaled
N68,68,covalent_radius_scaled
N69,69,CHI_UNSPECIFIED
N70,70,CHI_TETRAHEDRAL_CW
N71,71,CHI_TETRAHEDRAL_CCW
N72,72,CHI_OTHER
N73,73,n_hydrogens_0
N74,74,n_hydrogens_1
N75,75,n_hydrogens_2
N76,76,n_hydrogens_3
N77,77,n_hydrogens_4
N78,78,n_hydrogens_MoreThanFour
